"name","gauge_code","date","time","datetime_local","height_ft","height_m","unit","notes"
"Long Lake","LGW2","2021-10-14","16:43:00","2021-10-14T16:43:00","0.560","0.17068800000000003","FEET","local partner installed the gauge at this time"
"Long Lake","LGW2","2021-10-14","16:44:00","2021-10-14T16:44:00","0.570","0.173736","FEET",""
"Long Lake","LGW2","2021-11-01","14:56:32","2021-11-01T14:56:32","1.150","0.35052","FEET",""
"Long Lake","LGW2","2022-01-11","14:06:55","2022-01-11T14:06:55","3.290","1.0027920000000001","FEET",""
"Long Lake","LGW2","2022-03-11","17:13:58","2022-03-11T17:13:58","2.650","0.80772","FEET",""
"Long Lake","LGW2","2022-04-08","14:51:09","2022-04-08T14:51:09","2.490","0.7589520000000001","FEET",""
"Long Lake","LGW2","2022-04-27","12:09:20","2022-04-27T12:09:20","2.440","0.743712","FEET",""
"Long Lake","LGW2","2022-05-19","15:26:00","2022-05-19T15:26:00","2.420","0.737616","FEET",""
"Long Lake","LGW2","2022-06-17","16:15:35","2022-06-17T16:15:35","2.380","0.725424","FEET",""
"Long Lake","LGW2","2022-08-01","12:26:44","2022-08-01T12:26:44","1.780","0.542544","FEET",""
"Long Lake","LGW2","2022-09-08","17:26:31","2022-09-08T17:26:31","1.440","0.438912","FEET",""
"Long Lake","LGW2","2023-01-13","13:31:41","2023-01-13T13:31:41","2.570","0.783336","FEET",""
"Long Lake","LGW2","2024-02-08","14:44:30","2024-02-08T14:44:30","2.550","0.7772399999999999","FEET","LOCSS plate missing  "
