"name","gauge_code","date","time","datetime_local","height_ft","height_m","unit","notes"
"Pattison Lake","PAW2","2022-08-09","18:00:00","2022-08-09T18:00:00","1.710","0.521208","FEET",""
"Pattison Lake","PAW2","2022-08-11","11:41:07","2022-08-11T11:41:07","1.700","0.5181600000000001","FEET","feet "
"Pattison Lake","PAW2","2021-10-21","16:31:00","2021-10-21T16:31:00","1.680","0.512064","FEET","local partners installed the gauge at this time"
"Pattison Lake","PAW2","2021-10-21","16:31:00","2021-10-21T16:31:00","1.670","0.509016","FEET",""
"Pattison Lake","PAW2","2021-11-01","14:36:17","2021-11-01T14:36:17","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2021-11-13","12:02:05","2021-11-13T12:02:05","1.850","0.56388","FEET",""
"Pattison Lake","PAW2","2021-11-14","13:38:00","2021-11-14T13:38:00","1.850","0.56388","FEET",""
"Pattison Lake","PAW2","2021-11-28","15:12:19","2021-11-28T15:12:19","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-01-11","13:46:30","2022-01-11T13:46:30","2.190","0.667512","FEET",""
"Pattison Lake","PAW2","2022-02-13","15:42:11","2022-02-13T15:42:11","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-02-19","17:34:21","2022-02-19T17:34:21","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-02-28","13:53:32","2022-02-28T13:53:32","2.000","0.6096","FEET",""
"Pattison Lake","PAW2","2022-03-11","14:35:02","2022-03-11T14:35:02","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-03-16","14:52:46","2022-03-16T14:52:46","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-03-29","11:30:00","2022-03-29T11:30:00","1.780","0.542544","FEET",""
"Pattison Lake","PAW2","2022-04-02","18:03:33","2022-04-02T18:03:33","1.750","0.5334","FEET",""
"Pattison Lake","PAW2","2022-04-07","17:00:00","2022-04-07T17:00:00","1.770","0.5394960000000001","FEET",""
"Pattison Lake","PAW2","2022-04-27","14:54:53","2022-04-27T14:54:53","1.760","0.536448","FEET",""
"Pattison Lake","PAW2","2022-05-19","11:49:37","2022-05-19T11:49:37","1.800","0.54864","FEET",""
"Pattison Lake","PAW2","2022-05-22","16:00:00","2022-05-22T16:00:00","1.760","0.536448","FEET",""
"Pattison Lake","PAW2","2022-06-12","17:15:00","2022-06-12T17:15:00","1.840","0.560832","FEET",""
"Pattison Lake","PAW2","2022-06-23","20:00:00","2022-06-23T20:00:00","1.760","0.536448","FEET",""
"Pattison Lake","PAW2","2022-07-12","18:30:00","2022-07-12T18:30:00","1.740","0.530352","FEET",""
"Pattison Lake","PAW2","2022-07-17","17:00:00","2022-07-17T17:00:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-08-01","12:11:43","2022-08-01T12:11:43","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-08-16","19:29:00","2022-08-16T19:29:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-08-20","17:30:00","2022-08-20T17:30:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-09-08","17:17:01","2022-09-08T17:17:01","1.710","0.521208","FEET",""
