time_str,wse,wse_u,wse_r_u,wse_std,area_total,area_tot_u,area_detct,area_det_u,xtrk_dist,dark_frac,quality_f,qual_f_b,ice_clim_f,ice_dyn_f,partial_f,xovr_cal_q,cycle,pass,lake_name,lake_id
2023-08-02T13:11:08Z,46.177,0.03,0.015,0.109,0.284573,0.006469,0.276596,0.006469,9605.502,0.028032,0,64,0,-999,1,0,1,345,LONG LAKE,7830180292
2023-08-23T09:56:13Z,46.755,0.429,0.032,1.977,0.834827,0.014086,0.814036,0.014086,10235.285,0.024905,3,8389643,0,-999,1,0,2,345,LONG LAKE,7830180292
2023-09-13T06:41:20Z,46.007,0.019,0.012,0.092,0.337908,0.007135,0.331358,0.007135,9599.789,0.019384,0,0,0,-999,1,0,3,345,LONG LAKE,7830180292
2023-10-25T00:11:26Z,42.785,1.136,0.278,5.399,0.623049,0.242588,0.620794,0.242588,10479.994,0.003619,3,8389675,0,-999,1,0,5,345,LONG LAKE,7830180292
2023-11-14T20:56:32Z,46.466,0.355,0.012,0.195,0.382234,0.008417,0.378833,0.008417,9585.78,0.008898,2,263177,0,-999,1,0,6,345,LONG LAKE,7830180292
2023-12-05T17:41:37Z,47.953,1.02,0.138,2.734,0.689914,0.013525,0.680459,0.013525,10152.287,0.013704,3,8389643,0,-999,1,0,7,345,LONG LAKE,7830180292
2024-01-16T11:11:47Z,46.511,0.05,0.029,0.164,0.425801,0.01008,0.416906,0.01008,9771.345,0.02089,2,263179,1,-999,1,0,9,345,LONG LAKE,7830180292
2024-02-27T04:41:58Z,48.812,1.292,0.015,2.86,0.751752,0.012926,0.743006,0.012926,9363.215,0.011634,2,263179,0,-999,1,0,11,345,LONG LAKE,7830180292
2024-03-19T01:27:00Z,47.629,0.908,0.014,0.579,0.465037,0.010022,0.465037,0.010022,9700.132,0.0,1,1035,0,-999,1,0,12,345,LONG LAKE,7830180292
2024-04-08T22:12:05Z,48.697,0.835,0.012,2.278,1.214223,0.097462,1.204947,0.097462,9688.28,0.007639,2,263179,0,-999,1,0,13,345,LONG LAKE,7830180292
2024-04-29T18:57:10Z,47.925,1.639,0.029,0.103,0.284094,0.007788,0.278778,0.007788,9709.659,0.018711,2,263243,0,-999,1,0,14,345,LONG LAKE,7830180292
2024-05-20T15:42:15Z,46.373,0.089,0.05,0.196,0.075301,0.004154,0.068558,0.004154,9503.088,0.089552,2,263241,0,-999,1,0,15,345,LONG LAKE,7830180292
2024-06-10T12:27:21Z,46.542,0.2,0.013,0.169,0.664476,0.011373,0.663211,0.011373,9639.507,0.001904,1,1025,0,-999,1,0,16,345,LONG LAKE,7830180292
2024-07-01T09:12:24Z,46.766,0.496,0.037,0.172,0.47366,0.009295,0.46829,0.009295,9569.415,0.011337,3,8389643,0,-999,1,0,17,345,LONG LAKE,7830180292
2024-07-22T05:57:29Z,53.072,3.943,0.131,3.552,0.189846,0.006757,0.184861,0.006757,10078.703,0.02626,2,263275,0,-999,1,0,18,345,LONG LAKE,7830180292
2024-08-12T02:42:34Z,46.234,0.077,0.022,0.12,0.238541,0.006258,0.237232,0.006258,9561.928,0.005491,2,263241,0,-999,1,0,19,345,LONG LAKE,7830180292
2024-09-01T23:27:39Z,46.207,0.345,0.024,0.167,0.450489,0.1802,0.450489,0.1802,9568.31,0.0,2,263177,0,-999,1,0,20,345,LONG LAKE,7830180292
2024-10-13T16:57:50Z,47.61,2.057,0.049,0.283,0.197198,0.006225,0.181482,0.006225,9460.062,0.079694,2,263241,0,-999,1,0,22,345,LONG LAKE,7830180292
2024-11-03T13:42:54Z,51.942,0.733,0.094,0.707,0.678403,0.014092,0.674647,0.014092,10237.623,0.005537,3,8389643,0,-999,1,0,23,345,LONG LAKE,7830180292
2024-11-24T10:28:00Z,59.356,1.034,0.02,6.551,2.640226,0.024644,2.403987,0.024644,10085.774,0.089477,3,8389675,0,-999,1,0,24,345,LONG LAKE,7830180292
2025-01-26T00:43:13Z,46.649,0.196,0.009,0.201,1.002748,0.067985,0.999232,0.067985,9675.135,0.003506,1,1035,1,-999,1,0,27,345,LONG LAKE,7830180292
