time_str,wse,wse_u,wse_r_u,wse_std,area_total,area_tot_u,area_detct,area_det_u,xtrk_dist,dark_frac,quality_f,qual_f_b,ice_clim_f,ice_dyn_f,partial_f,xovr_cal_q,cycle,pass,lake_name,lake_id
2023-08-02T13:11:08Z,46.433,0.019,0.008,0.094,0.573636,0.009458,0.570971,0.009458,9716.647,0.004645,0,0,0,-999,1,0,1,345,PATTISON LAKE,7830178232
2023-08-23T09:56:13Z,46.494,0.033,0.022,0.167,0.508726,0.008771,0.490947,0.008771,9673.93,0.034947,1,11,0,-999,1,0,2,345,PATTISON LAKE,7830178232
2023-09-13T06:41:19Z,46.585,0.016,0.008,0.1,0.592911,0.009761,0.587806,0.009761,9781.203,0.00861,0,0,0,-999,1,0,3,345,PATTISON LAKE,7830178232
2023-10-25T00:11:26Z,46.728,0.028,0.015,0.117,0.334714,0.006781,0.332039,0.006781,9569.073,0.007992,0,0,0,-999,1,0,5,345,PATTISON LAKE,7830178232
2023-11-14T20:56:31Z,46.73,0.015,0.008,0.09,0.642872,0.009969,0.640338,0.009969,9743.688,0.003942,0,0,0,-999,1,0,6,345,PATTISON LAKE,7830178232
2023-12-05T17:41:37Z,46.8,0.023,0.015,0.117,0.437963,0.008156,0.432708,0.008156,9604.879,0.011999,0,0,0,-999,1,0,7,345,PATTISON LAKE,7830178232
2024-01-16T11:11:47Z,46.673,0.018,0.011,0.102,0.435063,0.007783,0.432439,0.007783,9607.217,0.00603,0,0,1,-999,1,0,9,345,PATTISON LAKE,7830178232
2024-02-06T07:56:53Z,49.558,1.185,0.013,7.161,1.504714,0.01859,1.414022,0.01859,10082.196,0.060271,2,263211,0,-999,1,0,10,345,PATTISON LAKE,7830178232
2024-02-27T04:41:58Z,46.722,0.013,0.009,0.072,0.493058,0.008096,0.486548,0.008096,9650.401,0.013204,0,0,0,-999,1,0,11,345,PATTISON LAKE,7830178232
2024-03-19T01:27:00Z,46.747,0.013,0.008,0.078,0.522485,0.009399,0.519873,0.009399,9756.234,0.005,1,1025,0,-999,1,0,12,345,PATTISON LAKE,7830178232
